new entry "Projectile_Toxic_Blade"
type "SpellData"
data "SpellType" "Projectile"
using "Projectile_MainHandAttack"
data "TargetRadius" "RangedMainWeaponRange"
data "SpellRoll" "Attack(AttackType.RangedWeaponAttack)"
data "SpellSuccess" "DealDamage(MainRangedWeapon, MainRangedWeaponDamageType); DealDamage(1d6, Poison); ExecuteWeaponFunctors(MainHand)"
data "SpellFail" "IF(HasStatus('YSRSLIDFWWADNIWHWIHLY')):SpawnExtraProjectiles(Projectile_Dipped_Poison);ApplyStatus(YSRSLIDFWWADNIWHWIHLY_YWNK,100,1)"
data "ProjectileCount" "1"
data "Trajectories" "aee0e1e8-d834-4a53-af80-4d941bc4bca9,6b020582-c105-a56d-a455-5481af7a69c0,89f26acb-0d43-f612-19bf-d1d45ed861f2"
data "Icon" "Action_DippedPoison_Ranged"
data "DisplayName" "h47c95bf4g8fdag21c0g0d6ag23da444520ac;1"
data "Description" "hd49dfb8fg662dg1851gf025gb76a4dcb11f5;1"
data "PreviewCursor" "Bow"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;9583ecee-cf6c-4735-86db-7ebf1df15eae,,;de006e3f-70fb-4eb7-a98d-d845d15b20e8,,;50696db7-d931-4734-915d-32d038ba99a5,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;,,;f920a0a6-f257-4ce4-8d17-2dcaa7bb7bbb,,;,,;,,"
data "DualWieldingSpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;45bcbbd4-f9ca-4b19-88c2-822c5e2b0d8b,,;466e7470-712f-4a67-8ef1-5908a20b0449,,;c1713221-163b-4bae-95de-e6681d665c76,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;,,;f920a0a6-f257-4ce4-8d17-2dcaa7bb7bbb,,;,,;,,"
data "WeaponTypes" "Ammunition"
data "SpellFlags" "HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful"
data "HitAnimationType" "MagicalDamage_Internal"
data "PrepareEffect" "2bd24880-72d2-4e98-9678-747cc80cf34b"
data "CastEffect" "821ab6e1-2e1e-4f28-b893-23fbc0909d60"
data "DamageType" "Poison"
data "Sheathing" "Ranged"

